IBM	Twitter
Salesforce	Twitter
Forrester Research	Google
AOL	CNN.com
Samsung Electronics	Shutterstock
CNN.com	Netflix
HBO	Hulu
Activision Blizzard	Microsoft
Facebook	YouTube
Amazon	Forrester Research
Gartner	Teradata
AOL	Google
Amazon	Engadget
Instagram	Sony
SAP	Twitter
FanDuel	IBM
ESPN	YouTube
Google	SAP
Comcast	Facebook
IBM	Instagram
Sony	YouTube
Instagram	LinkedIn
Apple	Viacom
IBM	Oracle Corporation
SAP	Salesforce
Facebook	Pixar
IBM	LinkedIn
Financial Times	Microsoft
Hulu	Sony
Amazon	Dish Network
Amazon	Teradata
Financial Times	Google
Amazon	Vimeo
Hulu	YouTube
LinkedIn	Shutterstock
Amazon	DigitasLBi
Apple	Twitter
Financial Times	Spotify
Instagram	YouTube
Samsung Electronics	Spotify
Amazon	Hewlett-Packard
Google	Hulu
Accel Partners	Salesforce
Legendary Entertainment	Microsoft
Apple	Uber
Instagram	Twitter
SAP	Samsung Electronics
Uber	YouTube
Sony	Twitter
Facebook	Viacom
ESPN	Microsoft
Facebook	Samsung Electronics
DigitasLBi	ESPN
Amazon	BuzzFeed
Google	Krux
Google	Legendary Entertainment
Amazon	Roku
Facebook	Sony
Accel Partners	Microsoft
Amazon	Samsung Electronics
IBM	SAS
DigitasLBi	YouTube
Microsoft	Spotify
HBO	Time Warner
Comcast	IBM
Comcast	DIRECTV
HBO	Instagram
Comcast	Netflix
CBS	Viacom
HBO	Microsoft
Amazon	Netflix
HBO	Sony
AOL	YouTube
Apple	Time Warner
T-Mobile	YouTube
DigitasLBi	Facebook
Salesforce	Uber
Facebook	Microsoft
Google	Vimeo
Amazon	Comcast
Apple	Samsung Electronics
Samsung Electronics	Unilever
Microsoft	Roku
Magic Leap	Microsoft
Apple	Google
Amazon	Time Warner
BuzzFeed	Instagram
Engadget	Twitter
Amazon	Instagram
Facebook	Gartner
Netflix	Uber
Facebook	Google
Accel Partners	IBM
Netflix	SAS
Amazon	NBA
Apple	LinkedIn
LinkedIn	YouTube
Microsoft	YouTube
HBO	T-Mobile
Comcast	YouTube
Apple	Mashable
ESPN	IBM
Twitter	Yahoo!
Amazon	comScore
LinkedIn	Twitter
BuzzFeed	HBO
Apple	NetSuite
HBO	Twitter
Roku	Twitter
CNN.com	Twitter
Apple	SAP
Salesforce	WhatsApp
Amazon	Facebook
Amazon	Uber
Gartner	IBM
Financial Times	YouTube
Apple	CBS
CBS	Facebook
BuzzFeed	Microsoft
Spotify	Twitter
Facebook	Mashable
IBM	Spotify
Google	HBO
Salesforce	Spotify
BBC (British Broadcasting Corporation)	Twitter
Amazon	T-Mobile
ESPN	Twitter
LinkedIn	Salesforce
Accel Partners	Twitter
AOL	Twitter
Apple	Engadget
Amazon	Lionsgate
Amazon	Mashable
Microsoft	T-Mobile
WhatsApp	YouTube
Instagram	Salesforce
Facebook	Krux
Google	Sony
Netflix	Spotify
Facebook	HBO
Comcast	HBO
HBO	Salesforce
Google	Mashable
Google	Microsoft
BuzzFeed	YouTube
Netflix	Time Warner
Krux	comScore
Foxtel Australia Pty Ltd	IBM
Foxtel Australia Pty Ltd	Netflix
LinkedIn	Uber
AOL	Amazon
CNN.com	Hulu
T-Mobile	Twitter
Samsung Electronics	Twitter
DigitasLBi	IBM
IBM	Samsung Electronics
DigitasLBi	Samsung Electronics
AOL	Instagram
BuzzFeed	Google
CNN.com	Google
Amazon	DIRECTV
Apple	Facebook
Microsoft	Teradata
NBA	Twitter
Instagram	Spotify
Gartner	Google
AOL	Samsung Electronics
CNN.com	Microsoft
Activision Blizzard	Twitter
Microsoft	Oracle Corporation
Apple	WhatsApp
NBA	Netflix
LinkedIn	Microsoft
Apple	YouTube
Gartner	Samsung Electronics
Facebook	NBA
Krux	Salesforce
Comcast	Hulu
Apple	Dish Network
Netflix	T-Mobile
Twitter	comScore
Mashable	Netflix
Activision Blizzard	Facebook
Comcast	Google
IBM	SAP
Twitter	Vimeo
FanDuel	YouTube
Amazon	Google
AOL	Apple
Apple	ESPN
Amazon	ESPN
Apple	Spotify
Financial Times	WhatsApp
Amazon	Oracle Corporation
Apple	IBM
Foxtel Australia Pty Ltd	Sony
Facebook	Uber
Salesforce	T-Mobile
Apple	Sony
Google	Netflix
Netflix	Samsung Electronics
Mashable	Microsoft
Apple	T-Mobile
Google	NBA
Amazon	Gartner
DIRECTV	YouTube
Google	YouTube
Microsoft	Uber
Microsoft	Xamarin
FanDuel	Twitter
BuzzFeed	LinkedIn
Sony	T-Mobile
AOL	HBO
Apple	BuzzFeed
Twitter	WhatsApp
Krux	Microsoft
Amazon	Apple
Comcast	Samsung Electronics
Comcast	Microsoft
Instagram	Microsoft
BuzzFeed	DigitasLBi
Apple	Comcast
Facebook	Financial Times
Samsung Electronics	T-Mobile
Shutterstock	YouTube
Microsoft	SAP
Amazon	Viacom
Apple	Univision
Amazon	WhatsApp
Instagram	T-Mobile
FanDuel	Instagram
ESPN	Netflix
Google	WhatsApp
Netflix	Viacom
Hewlett-Packard	Samsung Electronics
Amazon	Twitter
Twitter	YouTube
Facebook	Unilever
Facebook	T-Mobile
Pixar	Twitter
Apple	CNN.com
DigitasLBi	LinkedIn
IBM	YouTube
Financial Times	Twitter
Mashable	Samsung Electronics
Sony	Time Warner
Financial Times	HBO
Accel Partners	Apple
Netflix	Sony
Sony	Uber
Google	Magic Leap
DigitasLBi	Google
Amazon	Spotify
IBM	Yahoo!
FanDuel	Uber
ESPN	Facebook
IBM	Uber
Apple	Hulu
Google	Twitter
Amazon	Hulu
Hewlett-Packard	IBM
HBO	YouTube
Apple	FanDuel
Comcast	Sony
BuzzFeed	IBM
Salesforce	Shutterstock
IBM	Sony
ESPN	HBO
Amazon	CNN.com
BuzzFeed	Twitter
Hulu	Twitter
Amazon	Foxtel Australia Pty Ltd
Netflix	YouTube
LinkedIn	SAS
IBM	T-Mobile
Hewlett-Packard	Twitter
Accel Partners	Facebook
Mashable	Twitter
Google	IBM
Amazon	Cartoon Network
Microsoft	Netflix
Google	Spotify
Microsoft	Twitter
Gartner	SAP
Microsoft	WhatsApp
Salesforce	Samsung Electronics
Amazon	YouTube
HBO	Vimeo
Gartner	LinkedIn
Gartner	Salesforce
Amazon	Krux
Amazon	SAP
DigitasLBi	Instagram
CBS	YouTube
Instagram	WhatsApp
DigitasLBi	Microsoft
Facebook	Hulu
Comcast	T-Mobile
Salesforce	YouTube
IBM	Shutterstock
CBS	Twitter
Google	Univision
Apple	DigitasLBi
BuzzFeed	Shutterstock
Microsoft	Yahoo!
Google	Uber
Google	T-Mobile
DigitasLBi	Twitter
Microsoft	Salesforce
Media Camp	Twitter
FanDuel	Krux
Gartner	YouTube
Amazon	Salesforce
IBM	Krux
Teradata	Twitter
Gartner	Twitter
Gartner	Netflix
Forrester Research	Microsoft
AOL	Facebook
Netflix	Roku
Microsoft	Sony
Spotify	Uber
Hewlett-Packard	Microsoft
Google	LinkedIn
Netflix	Salesforce
Instagram	Netflix
Facebook	Hewlett-Packard
Activision Blizzard	YouTube
Krux	Shutterstock
HBO	Netflix
Facebook	WhatsApp
Amazon	Sony
FanDuel	Google
IBM	Netflix
LinkedIn	Netflix
Google	Shutterstock
Amazon	Financial Times
Amazon	FanDuel
Facebook	SAP
LinkedIn	Sony
Hulu	Samsung Electronics
Facebook	Shutterstock
Twitter	Uber
Amazon	Pixar
DigitasLBi	Salesforce
CNN.com	Facebook
Apple	Roku
Facebook	LinkedIn
IBM	Mediabrands
Accel Partners	LinkedIn
Apple	comScore
CNN.com	IBM
Netflix	Twitter
BBC (British Broadcasting Corporation)	Samsung Electronics
Facebook	Instagram
IBM	Salesforce
Apple	Gartner
Facebook	Oculus
Amazon	Univision
Shutterstock	Twitter
DigitasLBi	Netflix
Amazon	Microsoft
Amazon	CBS
Amazon	Shutterstock
Apple	Microsoft
Apple	Instagram
Accel Partners	Amazon
Apple	Shutterstock
Activision Blizzard	Financial Times
Facebook	Spotify
AOL	DigitasLBi
Facebook	Netflix
Facebook	IBM
Hulu	Netflix
Hewlett-Packard	SAP
Amazon	LinkedIn
Twitter	Viacom
Hulu	Spotify
Amazon	Yahoo!
Twitter	Unilever
Amazon	L'Oreal
HBO	LinkedIn
Apple	HBO
Activision Blizzard	Amazon
Gartner	Microsoft
BuzzFeed	Facebook
LinkedIn	Samsung Electronics
Google	Salesforce
Facebook	FanDuel
AOL	Microsoft
Yahoo!	YouTube
Comcast	Twitter
Samsung Electronics	YouTube
Krux	Twitter
Amazon	SAS
Facebook	Salesforce
Apple	Hewlett-Packard
Amazon	Unilever
IBM	Microsoft
ESPN	Krux
Apple	Netflix
FanDuel	Microsoft
Facebook	Twitter
Apple	NBA
CNN.com	Instagram
Microsoft	Shutterstock
Google	Instagram
Facebook	comScore
Sony	Spotify
Samsung Electronics	Sony
ESPN	NBA
Google	Samsung Electronics
Spotify	YouTube
AOL	IBM
FanDuel	Salesforce
Amazon	Paramount Pictures
Amazon	IBM
Facebook	Forrester Research
Activision Blizzard	Apple
Hewlett-Packard	LinkedIn
Amazon	HBO
Microsoft	Samsung Electronics
Amazon	Tribune Media (former Tribune Company)
Facebook	Magic Leap
Instagram	Uber
Apple	Financial Times
Apple	Salesforce
